ele_ymd,election,prefecture,municipality,district,name_kanji,name_kana,age,gen,status,job,circle,win,n_votes,voting_ymd,year,month,day,kokuji_ymd,e_voting_rate,e_seats_target,e_n_candidates,e_competitive_ratio,e_all_voter,e_male_all_voter,e_female_all_voter,e_change_all_voter,e_reason,e_pre_v_rate,e_pre_seats_t,e_pre_n_cand,e_pre_compe_rate,d_voting_rate,d_seats_target,d_n_candidates,d_competitive_ratio,d_all_voter,d_male_all_voter,d_female_all_voter,d_change_all_voter,d_reason,d_pre_v_rate,d_pre_seats_t,d_pre_n_cand,d_pre_compe_rate
日高町議会議員選挙（2018年03月25日投票）,日高町議会議員選挙,北海道,日高町, 日高町議会議員選挙2,佐藤 はなえ,サトウ ハナエ,75,女,現職,	無職,nan,True,526.21,20180325,2018,3,25,20180320,70.17,15,18,1.2,20640,nan,nan,nan,任期満了,nan,nan,nan,nan,70.17,15,18,1.2,10320,nan,nan,nan,任期満了,nan,nan,nan,nan
日高町議会議員選挙（2018年03月25日投票）,日高町議会議員選挙,北海道,日高町, 日高町議会議員選挙2,互野 利夫,タガイノ トシオ,66,男,現職,行政書士,nan,True,523.0,20180325,2018,3,25,20180320,70.17,15,18,1.2,20640,nan,nan,nan,任期満了,nan,nan,nan,nan,70.17,15,18,1.2,10320,nan,nan,nan,任期満了,nan,nan,nan,nan
日高町議会議員選挙（2018年03月25日投票）,日高町議会議員選挙,北海道,日高町, 日高町議会議員選挙2,高橋 克徳,タカハシ カツノリ,64,男,現職,会社員,nan,True,511.0,20180325,2018,3,25,20180320,70.17,15,18,1.2,20640,nan,nan,nan,任期満了,nan,nan,nan,nan,70.17,15,18,1.2,10320,nan,nan,nan,任期満了,nan,nan,nan,nan
日高町議会議員選挙（2018年03月25日投票）,日高町議会議員選挙,北海道,日高町, 日高町議会議員選挙2,西尾 英俊,ニシオ ヒデトシ,70,男,現職,会社員,nan,True,504.0,20180325,2018,3,25,20180320,70.17,15,18,1.2,20640,nan,nan,nan,任期満了,nan,nan,nan,nan,70.17,15,18,1.2,10320,nan,nan,nan,任期満了,nan,nan,nan,nan
日高町議会議員選挙（2018年03月25日投票）,日高町議会議員選挙,北海道,日高町, 日高町議会議員選挙2,白石 典昭,シライシ ノリアキ,63,男,新人,団体職員,nan,True,497.0,20180325,2018,3,25,20180320,70.17,15,18,1.2,20640,nan,nan,nan,任期満了,nan,nan,nan,nan,70.17,15,18,1.2,10320,nan,nan,nan,任期満了,nan,nan,nan,nan
日高町議会議員選挙（2018年03月25日投票）,日高町議会議員選挙,北海道,日高町, 日高町議会議員選挙2,神保 一哉,ジンボ カズヤ,71,男,現職,会社員,nan,True,491.0,20180325,2018,3,25,20180320,70.17,15,18,1.2,20640,nan,nan,nan,任期満了,nan,nan,nan,nan,70.17,15,18,1.2,10320,nan,nan,nan,任期満了,nan,nan,nan,nan
日高町議会議員選挙（2018年03月25日投票）,日高町議会議員選挙,北海道,日高町, 日高町議会議員選挙2,寺越 哲夫,テラコシ テツオ,70,男,現職,農業,nan,True,480.0,20180325,2018,3,25,20180320,70.17,15,18,1.2,20640,nan,nan,nan,任期満了,nan,nan,nan,nan,70.17,15,18,1.2,10320,nan,nan,nan,任期満了,nan,nan,nan,nan
日高町議会議員選挙（2018年03月25日投票）,日高町議会議員選挙,北海道,日高町, 日高町議会議員選挙2,梅木 聡,ウメキ サトシ,60,男,新人,無職,nan,True,479.0,20180325,2018,3,25,20180320,70.17,15,18,1.2,20640,nan,nan,nan,任期満了,nan,nan,nan,nan,70.17,15,18,1.2,10320,nan,nan,nan,任期満了,nan,nan,nan,nan
日高町議会議員選挙（2018年03月25日投票）,日高町議会議員選挙,北海道,日高町, 日高町議会議員選挙2,佐藤 則男,サトウ ノリオ,65,男,新人,無職,nan,True,424.79,20180325,2018,3,25,20180320,70.17,15,18,1.2,20640,nan,nan,nan,任期満了,nan,nan,nan,nan,70.17,15,18,1.2,10320,nan,nan,nan,任期満了,nan,nan,nan,nan
日高町議会議員選挙（2018年03月25日投票）,日高町議会議員選挙,北海道,日高町, 日高町議会議員選挙2,村井 文夫,ムライ フミオ,75,男,現職,整備工場役員,nan,True,394.0,20180325,2018,3,25,20180320,70.17,15,18,1.2,20640,nan,nan,nan,任期満了,nan,nan,nan,nan,70.17,15,18,1.2,10320,nan,nan,nan,任期満了,nan,nan,nan,nan
日高町議会議員選挙（2018年03月25日投票）,日高町議会議員選挙,北海道,日高町, 日高町議会議員選挙2,工藤 守弘,クドウ モリヒロ,65,男,現職,無職,nan,True,377.0,20180325,2018,3,25,20180320,70.17,15,18,1.2,20640,nan,nan,nan,任期満了,nan,nan,nan,nan,70.17,15,18,1.2,10320,nan,nan,nan,任期満了,nan,nan,nan,nan
日高町議会議員選挙（2018年03月25日投票）,日高町議会議員選挙,北海道,日高町, 日高町議会議員選挙2,門別 初男,モンベツ ハツオ,69,男,現職,無職,nan,True,358.0,20180325,2018,3,25,20180320,70.17,15,18,1.2,20640,nan,nan,nan,任期満了,nan,nan,nan,nan,70.17,15,18,1.2,10320,nan,nan,nan,任期満了,nan,nan,nan,nan
日高町議会議員選挙（2018年03月25日投票）,日高町議会議員選挙,北海道,日高町, 日高町議会議員選挙2,菊池 日出夫,キクチ ヒデオ,68,男,現職,	塗装業（自営）,nan,True,356.0,20180325,2018,3,25,20180320,70.17,15,18,1.2,20640,nan,nan,nan,任期満了,nan,nan,nan,nan,70.17,15,18,1.2,10320,nan,nan,nan,任期満了,nan,nan,nan,nan
日高町議会議員選挙（2018年03月25日投票）,日高町議会議員選挙,北海道,日高町, 日高町議会議員選挙2,小園 暁子,コゾノ アキコ,69,女,新人,ピアノ教師,nan,True,323.0,20180325,2018,3,25,20180320,70.17,15,18,1.2,20640,nan,nan,nan,任期満了,nan,nan,nan,nan,70.17,15,18,1.2,10320,nan,nan,nan,任期満了,nan,nan,nan,nan
日高町議会議員選挙（2018年03月25日投票）,日高町議会議員選挙,北海道,日高町, 日高町議会議員選挙2,真壁 悦夫,マカベ エツオ,69,男,現職,無職,nan,True,251.0,20180325,2018,3,25,20180320,70.17,15,18,1.2,20640,nan,nan,nan,任期満了,nan,nan,nan,nan,70.17,15,18,1.2,10320,nan,nan,nan,任期満了,nan,nan,nan,nan
日高町議会議員選挙（2018年03月25日投票）,日高町議会議員選挙,北海道,日高町, 日高町議会議員選挙2,本宮 哲夫,モトミヤ テツオ,64,男,現職,会社員,nan,False,246.0,20180325,2018,3,25,20180320,70.17,15,18,1.2,20640,nan,nan,nan,任期満了,nan,nan,nan,nan,70.17,15,18,1.2,10320,nan,nan,nan,任期満了,nan,nan,nan,nan
日高町議会議員選挙（2018年03月25日投票）,日高町議会議員選挙,北海道,日高町, 日高町議会議員選挙2,柳北 守隆,ヤナキタ モリタカ,79,男,現職,獣医科医院,nan,False,225.0,20180325,2018,3,25,20180320,70.17,15,18,1.2,20640,nan,nan,nan,任期満了,nan,nan,nan,nan,70.17,15,18,1.2,10320,nan,nan,nan,任期満了,nan,nan,nan,nan
日高町議会議員選挙（2018年03月25日投票）,日高町議会議員選挙,北海道,日高町, 日高町議会議員選挙2,鹿戸 栄子,シカト エイコ,68,女,新人,会社役員,nan,False,210.0,20180325,2018,3,25,20180320,70.17,15,18,1.2,20640,nan,nan,nan,任期満了,nan,nan,nan,nan,70.17,15,18,1.2,10320,nan,nan,nan,任期満了,nan,nan,nan,nan
日高町議会議員選挙（2014年03月30日投票）,日高町議会議員選挙,北海道,日高町, 日高町議会議員選挙1,神保 一哉,ジンボ カズヤ,67,男,現職,,無所属,True,nan,20140330,2014,3,30,20140325,無投票,15,15,1.0,nan,nan,nan,nan,任期満了,87.06,nan,nan,nan,nan,nan,3,nan,nan,nan,nan,nan,任期満了,87.06,nan,nan,nan
日高町議会議員選挙（2014年03月30日投票）,日高町議会議員選挙,北海道,日高町, 日高町議会議員選挙1,川渕 健一,カワブチ ケンイチ,67,男,現職,,無所属,True,nan,20140330,2014,3,30,20140325,無投票,15,15,1.0,nan,nan,nan,nan,任期満了,87.06,nan,nan,nan,nan,nan,3,nan,nan,nan,nan,nan,任期満了,87.06,nan,nan,nan
日高町議会議員選挙（2014年03月30日投票）,日高町議会議員選挙,北海道,日高町, 日高町議会議員選挙1,互野 利夫,タガイノ トシオ,62,男,新人,,無所属,True,nan,20140330,2014,3,30,20140325,無投票,15,15,1.0,nan,nan,nan,nan,任期満了,87.06,nan,nan,nan,nan,nan,3,nan,nan,nan,nan,nan,任期満了,87.06,nan,nan,nan
日高町議会議員選挙（2014年03月30日投票）,日高町議会議員選挙,北海道,日高町, 日高町議会議員選挙2,寺越 哲夫,テラコシ テツオ,66,男,現職,,無所属,True,nan,20140330,2014,3,30,20140325,無投票,15,15,1.0,nan,nan,nan,nan,任期満了,87.06,nan,nan,nan,nan,nan,12,nan,nan,nan,nan,nan,任期満了,87.06,nan,nan,nan
日高町議会議員選挙（2014年03月30日投票）,日高町議会議員選挙,北海道,日高町, 日高町議会議員選挙2,柳北 守隆,ヤナキタ モリタカ,75,男,現職,,無所属,True,nan,20140330,2014,3,30,20140325,無投票,15,15,1.0,nan,nan,nan,nan,任期満了,87.06,nan,nan,nan,nan,nan,12,nan,nan,nan,nan,nan,任期満了,87.06,nan,nan,nan
日高町議会議員選挙（2014年03月30日投票）,日高町議会議員選挙,北海道,日高町, 日高町議会議員選挙2,佐藤 はなえ,サトウ ハナエ,71,女,現職,,公明党,True,nan,20140330,2014,3,30,20140325,無投票,15,15,1.0,nan,nan,nan,nan,任期満了,87.06,nan,nan,nan,nan,nan,12,nan,nan,nan,nan,nan,任期満了,87.06,nan,nan,nan
日高町議会議員選挙（2014年03月30日投票）,日高町議会議員選挙,北海道,日高町, 日高町議会議員選挙2,村井 文夫,ムライ フミオ,71,男,現職,,無所属,True,nan,20140330,2014,3,30,20140325,無投票,15,15,1.0,nan,nan,nan,nan,任期満了,87.06,nan,nan,nan,nan,nan,12,nan,nan,nan,nan,nan,任期満了,87.06,nan,nan,nan
日高町議会議員選挙（2014年03月30日投票）,日高町議会議員選挙,北海道,日高町, 日高町議会議員選挙2,菊池 日出夫,キクチ ヒデオ,64,男,現職,,日本共産党,True,nan,20140330,2014,3,30,20140325,無投票,15,15,1.0,nan,nan,nan,nan,任期満了,87.06,nan,nan,nan,nan,nan,12,nan,nan,nan,nan,nan,任期満了,87.06,nan,nan,nan
日高町議会議員選挙（2014年03月30日投票）,日高町議会議員選挙,北海道,日高町, 日高町議会議員選挙2,西尾 英俊,ニシオ ヒデトシ,66,男,現職,,無所属,True,nan,20140330,2014,3,30,20140325,無投票,15,15,1.0,nan,nan,nan,nan,任期満了,87.06,nan,nan,nan,nan,nan,12,nan,nan,nan,nan,nan,任期満了,87.06,nan,nan,nan
日高町議会議員選挙（2014年03月30日投票）,日高町議会議員選挙,北海道,日高町, 日高町議会議員選挙2,門別 初男,モンベツ ハツオ,65,男,新人,,無所属,True,nan,20140330,2014,3,30,20140325,無投票,15,15,1.0,nan,nan,nan,nan,任期満了,87.06,nan,nan,nan,nan,nan,12,nan,nan,nan,nan,nan,任期満了,87.06,nan,nan,nan
日高町議会議員選挙（2014年03月30日投票）,日高町議会議員選挙,北海道,日高町, 日高町議会議員選挙2,真壁 悦夫,マカベ エツオ,65,男,新人,,日本共産党,True,nan,20140330,2014,3,30,20140325,無投票,15,15,1.0,nan,nan,nan,nan,任期満了,87.06,nan,nan,nan,nan,nan,12,nan,nan,nan,nan,nan,任期満了,87.06,nan,nan,nan
日高町議会議員選挙（2014年03月30日投票）,日高町議会議員選挙,北海道,日高町, 日高町議会議員選挙2,よねざわ やすみ,ヨネザワ ヤスミ,66,男,新人,,無所属,True,nan,20140330,2014,3,30,20140325,無投票,15,15,1.0,nan,nan,nan,nan,任期満了,87.06,nan,nan,nan,nan,nan,12,nan,nan,nan,nan,nan,任期満了,87.06,nan,nan,nan
日高町議会議員選挙（2014年03月30日投票）,日高町議会議員選挙,北海道,日高町, 日高町議会議員選挙2,工藤 守弘,クドウ モリヒロ,61,男,新人,,無所属,True,nan,20140330,2014,3,30,20140325,無投票,15,15,1.0,nan,nan,nan,nan,任期満了,87.06,nan,nan,nan,nan,nan,12,nan,nan,nan,nan,nan,任期満了,87.06,nan,nan,nan
日高町議会議員選挙（2014年03月30日投票）,日高町議会議員選挙,北海道,日高町, 日高町議会議員選挙2,本宮 哲夫,モトミヤ テツオ,60,男,現職,,日本共産党,True,nan,20140330,2014,3,30,20140325,無投票,15,15,1.0,nan,nan,nan,nan,任期満了,87.06,nan,nan,nan,nan,nan,12,nan,nan,nan,nan,nan,任期満了,87.06,nan,nan,nan
日高町議会議員選挙（2014年03月30日投票）,日高町議会議員選挙,北海道,日高町, 日高町議会議員選挙2,高橋 克徳,タカハシ カツノリ,60,男,新人,,無所属,True,nan,20140330,2014,3,30,20140325,無投票,15,15,1.0,nan,nan,nan,nan,任期満了,87.06,nan,nan,nan,nan,nan,12,nan,nan,nan,nan,nan,任期満了,87.06,nan,nan,nan
日高町議会議員選挙（2010年04月04日投票）,日高町議会議員選挙,北海道,日高町, 日高町議会議員選挙1,神保 一哉,ジンボ カズヤ,63,男,現職,,無所属,True,475.0,20100404,2010,4,4,20100330,87.06,0,16,nan,1515,nan,nan,-10332,任期満了,79.15,nan,nan,nan,nan,nan,4,nan,1515,nan,nan,nan,任期満了,nan,nan,nan,nan
日高町議会議員選挙（2010年04月04日投票）,日高町議会議員選挙,北海道,日高町, 日高町議会議員選挙1,西尾 正,ニシオ タダシ,nan,男,現職,,無所属,True,288.0,20100404,2010,4,4,20100330,87.06,0,16,nan,1515,nan,nan,-10332,任期満了,79.15,nan,nan,nan,nan,nan,4,nan,1515,nan,nan,nan,任期満了,nan,nan,nan,nan
