ele_ymd,election,prefecture,municipality,district,name_kanji,name_kana,age,gen,status,job,circle,win,n_votes,voting_ymd,year,month,day,kokuji_ymd,e_voting_rate,e_seats_target,e_n_candidates,e_competitive_ratio,e_all_voter,e_male_all_voter,e_female_all_voter,e_change_all_voter,e_reason,e_pre_v_rate,e_pre_seats_t,e_pre_n_cand,e_pre_compe_rate,d_voting_rate,d_seats_target,d_n_candidates,d_competitive_ratio,d_all_voter,d_male_all_voter,d_female_all_voter,d_change_all_voter,d_reason,d_pre_v_rate,d_pre_seats_t,d_pre_n_cand,d_pre_compe_rate
日高町議会議員選挙（2010年04月04日投票）,日高町議会議員選挙,北海道,日高町, 日高町議会議員選挙1,川渕 健一,カワブチ ケンイチ,63,男,現職,,無所属,True,273.0,20100404,2010,4,4,20100330,87.06,0,16,nan,1515,nan,nan,-10332,任期満了,79.15,nan,nan,nan,nan,nan,4,nan,1515,nan,nan,nan,任期満了,nan,nan,nan,nan
日高町議会議員選挙（2010年04月04日投票）,日高町議会議員選挙,北海道,日高町, 日高町議会議員選挙1,今井 利昭,イマイ トシアキ,56,男,現職,,無所属,False,265.0,20100404,2010,4,4,20100330,87.06,0,16,nan,1515,nan,nan,-10332,任期満了,79.15,nan,nan,nan,nan,nan,4,nan,1515,nan,nan,nan,任期満了,nan,nan,nan,nan
日高町議会議員選挙（2010年04月04日投票）,日高町議会議員選挙,北海道,日高町, 日高町議会議員選挙2,寺越 哲夫,テラコシ テツオ,62,男,現職,,無所属,True,nan,20100404,2010,4,4,20100330,87.06,0,16,nan,1515,nan,nan,-10332,任期満了,79.15,nan,nan,nan,nan,nan,12,nan,nan,nan,nan,nan,任期満了,nan,nan,nan,nan
日高町議会議員選挙（2010年04月04日投票）,日高町議会議員選挙,北海道,日高町, 日高町議会議員選挙2,助川 隆,スケガワ タカシ,74,男,現職,,無所属,True,nan,20100404,2010,4,4,20100330,87.06,0,16,nan,1515,nan,nan,-10332,任期満了,79.15,nan,nan,nan,nan,nan,12,nan,nan,nan,nan,nan,任期満了,nan,nan,nan,nan
日高町議会議員選挙（2010年04月04日投票）,日高町議会議員選挙,北海道,日高町, 日高町議会議員選挙2,柳北 守隆,ヤナキタ モリタカ,71,男,現職,,無所属,True,nan,20100404,2010,4,4,20100330,87.06,0,16,nan,1515,nan,nan,-10332,任期満了,79.15,nan,nan,nan,nan,nan,12,nan,nan,nan,nan,nan,任期満了,nan,nan,nan,nan
日高町議会議員選挙（2010年04月04日投票）,日高町議会議員選挙,北海道,日高町, 日高町議会議員選挙2,佐藤 はなえ,サトウ ハナエ,67,女,現職,,公明党,True,nan,20100404,2010,4,4,20100330,87.06,0,16,nan,1515,nan,nan,-10332,任期満了,79.15,nan,nan,nan,nan,nan,12,nan,nan,nan,nan,nan,任期満了,nan,nan,nan,nan
日高町議会議員選挙（2010年04月04日投票）,日高町議会議員選挙,北海道,日高町, 日高町議会議員選挙2,庄野 昭彦,ショウノ アキヒコ,68,男,現職,,無所属,True,nan,20100404,2010,4,4,20100330,87.06,0,16,nan,1515,nan,nan,-10332,任期満了,79.15,nan,nan,nan,nan,nan,12,nan,nan,nan,nan,nan,任期満了,nan,nan,nan,nan
日高町議会議員選挙（2010年04月04日投票）,日高町議会議員選挙,北海道,日高町, 日高町議会議員選挙2,村井 文夫,ムライ フミオ,67,男,現職,,無所属,True,nan,20100404,2010,4,4,20100330,87.06,0,16,nan,1515,nan,nan,-10332,任期満了,79.15,nan,nan,nan,nan,nan,12,nan,nan,nan,nan,nan,任期満了,nan,nan,nan,nan
日高町議会議員選挙（2010年04月04日投票）,日高町議会議員選挙,北海道,日高町, 日高町議会議員選挙2,菊池 日出夫,キクチ ヒデオ,60,男,現職,,日本共産党,True,nan,20100404,2010,4,4,20100330,87.06,0,16,nan,1515,nan,nan,-10332,任期満了,79.15,nan,nan,nan,nan,nan,12,nan,nan,nan,nan,nan,任期満了,nan,nan,nan,nan
日高町議会議員選挙（2010年04月04日投票）,日高町議会議員選挙,北海道,日高町, 日高町議会議員選挙2,鹿戸 作蔵,シカト サクゾウ,73,男,現職,,無所属,True,nan,20100404,2010,4,4,20100330,87.06,0,16,nan,1515,nan,nan,-10332,任期満了,79.15,nan,nan,nan,nan,nan,12,nan,nan,nan,nan,nan,任期満了,nan,nan,nan,nan
日高町議会議員選挙（2010年04月04日投票）,日高町議会議員選挙,北海道,日高町, 日高町議会議員選挙2,伊東 喜八郎,イトウ キハチロウ,75,男,現職,,無所属,True,nan,20100404,2010,4,4,20100330,87.06,0,16,nan,1515,nan,nan,-10332,任期満了,79.15,nan,nan,nan,nan,nan,12,nan,nan,nan,nan,nan,任期満了,nan,nan,nan,nan
日高町議会議員選挙（2010年04月04日投票）,日高町議会議員選挙,北海道,日高町, 日高町議会議員選挙2,本宮 幹夫,モトミヤ ミキオ,56,男,現職,,日本共産党,True,nan,20100404,2010,4,4,20100330,87.06,0,16,nan,1515,nan,nan,-10332,任期満了,79.15,nan,nan,nan,nan,nan,12,nan,nan,nan,nan,nan,任期満了,nan,nan,nan,nan
日高町議会議員選挙（2010年04月04日投票）,日高町議会議員選挙,北海道,日高町, 日高町議会議員選挙2,西尾 英俊,ニシオ ヒデトシ,62,男,現職,,無所属,True,nan,20100404,2010,4,4,20100330,87.06,0,16,nan,1515,nan,nan,-10332,任期満了,79.15,nan,nan,nan,nan,nan,12,nan,nan,nan,nan,nan,任期満了,nan,nan,nan,nan
日高町議会議員選挙（2010年04月04日投票）,日高町議会議員選挙,北海道,日高町, 日高町議会議員選挙2,茂庭 忠雄,モニワ タダオ,76,男,現職,,無所属,True,nan,20100404,2010,4,4,20100330,87.06,0,16,nan,1515,nan,nan,-10332,任期満了,79.15,nan,nan,nan,nan,nan,12,nan,nan,nan,nan,nan,任期満了,nan,nan,nan,nan
日高町議会議員選挙（2006年04月09日投票）,日高町議会議員選挙,北海道,日高町, 第一選挙区 1,鹿島 信一,カシマ シンイチ,67,男,新人,,無所属,True,239.0,20060409,2006,4,9,20060404,79.15,0,25,nan,11847,nan,nan,nan,その他,nan,nan,nan,nan,nan,nan,8,nan,1625,nan,nan,nan,その他,nan,nan,nan,nan
日高町議会議員選挙（2006年04月09日投票）,日高町議会議員選挙,北海道,日高町, 第一選挙区 1,川渕 健一,カワブチ ケンイチ,59,男,新人,,無所属,True,217.0,20060409,2006,4,9,20060404,79.15,0,25,nan,11847,nan,nan,nan,その他,nan,nan,nan,nan,nan,nan,8,nan,1625,nan,nan,nan,その他,nan,nan,nan,nan
日高町議会議員選挙（2006年04月09日投票）,日高町議会議員選挙,北海道,日高町, 第一選挙区 1,矢野 喜彦,ヤノ ヨシヒコ,51,男,新人,,無所属,True,212.0,20060409,2006,4,9,20060404,79.15,0,25,nan,11847,nan,nan,nan,その他,nan,nan,nan,nan,nan,nan,8,nan,1625,nan,nan,nan,その他,nan,nan,nan,nan
日高町議会議員選挙（2006年04月09日投票）,日高町議会議員選挙,北海道,日高町, 第一選挙区 1,神保 一哉,ジンボ カズヤ,59,男,新人,,無所属,True,186.0,20060409,2006,4,9,20060404,79.15,0,25,nan,11847,nan,nan,nan,その他,nan,nan,nan,nan,nan,nan,8,nan,1625,nan,nan,nan,その他,nan,nan,nan,nan
日高町議会議員選挙（2006年04月09日投票）,日高町議会議員選挙,北海道,日高町, 第一選挙区 1,鈴木 徳美,スズキ トクミ,68,男,新人,,無所属,True,183.0,20060409,2006,4,9,20060404,79.15,0,25,nan,11847,nan,nan,nan,その他,nan,nan,nan,nan,nan,nan,8,nan,1625,nan,nan,nan,その他,nan,nan,nan,nan
日高町議会議員選挙（2006年04月09日投票）,日高町議会議員選挙,北海道,日高町, 第一選挙区 1,今井 利昭,イマイ トシアキ,52,男,新人,,無所属,True,161.0,20060409,2006,4,9,20060404,79.15,0,25,nan,11847,nan,nan,nan,その他,nan,nan,nan,nan,nan,nan,8,nan,1625,nan,nan,nan,その他,nan,nan,nan,nan
日高町議会議員選挙（2006年04月09日投票）,日高町議会議員選挙,北海道,日高町, 第一選挙区 1,笹盛 茂男,ササモリ シゲオ,64,男,新人,,無所属,False,129.0,20060409,2006,4,9,20060404,79.15,0,25,nan,11847,nan,nan,nan,その他,nan,nan,nan,nan,nan,nan,8,nan,1625,nan,nan,nan,その他,nan,nan,nan,nan
日高町議会議員選挙（2006年04月09日投票）,日高町議会議員選挙,北海道,日高町, 第一選挙区 1,松原 清司,マツバラ キヨシ,71,男,新人,,無所属,False,106.0,20060409,2006,4,9,20060404,79.15,0,25,nan,11847,nan,nan,nan,その他,nan,nan,nan,nan,nan,nan,8,nan,1625,nan,nan,nan,その他,nan,nan,nan,nan
日高町議会議員選挙（2006年04月09日投票）,日高町議会議員選挙,北海道,日高町, 第二選挙区 2,茂庭 忠雄,モニワ タダオ,72,男,新人,,無所属,True,594.0,20060409,2006,4,9,20060404,79.15,0,25,nan,11847,nan,nan,nan,その他,nan,nan,nan,nan,nan,nan,17,nan,10222,nan,nan,nan,その他,nan,nan,nan,nan
日高町議会議員選挙（2006年04月09日投票）,日高町議会議員選挙,北海道,日高町, 第二選挙区 2,佐藤 はなえ,サトウ ハナエ,63,女,新人,,公明党,True,580.0,20060409,2006,4,9,20060404,79.15,0,25,nan,11847,nan,nan,nan,その他,nan,nan,nan,nan,nan,nan,17,nan,10222,nan,nan,nan,その他,nan,nan,nan,nan
日高町議会議員選挙（2006年04月09日投票）,日高町議会議員選挙,北海道,日高町, 第二選挙区 2,庄野 昭彦,ショウノ アキヒコ,64,男,新人,,無所属,True,572.0,20060409,2006,4,9,20060404,79.15,0,25,nan,11847,nan,nan,nan,その他,nan,nan,nan,nan,nan,nan,17,nan,10222,nan,nan,nan,その他,nan,nan,nan,nan
日高町議会議員選挙（2006年04月09日投票）,日高町議会議員選挙,北海道,日高町, 第二選挙区 2,柳北 守隆,ヤナキタ モリタカ,67,男,新人,,無所属,True,566.0,20060409,2006,4,9,20060404,79.15,0,25,nan,11847,nan,nan,nan,その他,nan,nan,nan,nan,nan,nan,17,nan,10222,nan,nan,nan,その他,nan,nan,nan,nan
日高町議会議員選挙（2006年04月09日投票）,日高町議会議員選挙,北海道,日高町, 第二選挙区 2,菊池 日出夫,キクチ ヒデオ,56,男,新人,,日本共産党,True,557.0,20060409,2006,4,9,20060404,79.15,0,25,nan,11847,nan,nan,nan,その他,nan,nan,nan,nan,nan,nan,17,nan,10222,nan,nan,nan,その他,nan,nan,nan,nan
日高町議会議員選挙（2006年04月09日投票）,日高町議会議員選挙,北海道,日高町, 第二選挙区 2,寺越 哲夫,テラコシ テツオ,58,男,新人,,無所属,True,526.0,20060409,2006,4,9,20060404,79.15,0,25,nan,11847,nan,nan,nan,その他,nan,nan,nan,nan,nan,nan,17,nan,10222,nan,nan,nan,その他,nan,nan,nan,nan
日高町議会議員選挙（2006年04月09日投票）,日高町議会議員選挙,北海道,日高町, 第二選挙区 2,広木 英明,ヒロキ ヒデアキ,65,男,新人,,無所属,True,512.0,20060409,2006,4,9,20060404,79.15,0,25,nan,11847,nan,nan,nan,その他,nan,nan,nan,nan,nan,nan,17,nan,10222,nan,nan,nan,その他,nan,nan,nan,nan
日高町議会議員選挙（2006年04月09日投票）,日高町議会議員選挙,北海道,日高町, 第二選挙区 2,鹿戸 作蔵,シカト サクゾウ,69,男,新人,,無所属,True,465.0,20060409,2006,4,9,20060404,79.15,0,25,nan,11847,nan,nan,nan,その他,nan,nan,nan,nan,nan,nan,17,nan,10222,nan,nan,nan,その他,nan,nan,nan,nan
日高町議会議員選挙（2006年04月09日投票）,日高町議会議員選挙,北海道,日高町, 第二選挙区 2,伊東 喜八郎,イトウ キハチロウ,71,男,新人,,無所属,True,439.0,20060409,2006,4,9,20060404,79.15,0,25,nan,11847,nan,nan,nan,その他,nan,nan,nan,nan,nan,nan,17,nan,10222,nan,nan,nan,その他,nan,nan,nan,nan
日高町議会議員選挙（2006年04月09日投票）,日高町議会議員選挙,北海道,日高町, 第二選挙区 2,村井 文夫,ムライ フミオ,63,男,新人,,無所属,True,437.0,20060409,2006,4,9,20060404,79.15,0,25,nan,11847,nan,nan,nan,その他,nan,nan,nan,nan,nan,nan,17,nan,10222,nan,nan,nan,その他,nan,nan,nan,nan
日高町議会議員選挙（2006年04月09日投票）,日高町議会議員選挙,北海道,日高町, 第二選挙区 2,助川 隆,スケガワ タカシ,70,男,新人,,無所属,True,426.0,20060409,2006,4,9,20060404,79.15,0,25,nan,11847,nan,nan,nan,その他,nan,nan,nan,nan,nan,nan,17,nan,10222,nan,nan,nan,その他,nan,nan,nan,nan
日高町議会議員選挙（2006年04月09日投票）,日高町議会議員選挙,北海道,日高町, 第二選挙区 2,西尾 英俊,ニシオ ヒデトシ,58,男,新人,,無所属,True,422.0,20060409,2006,4,9,20060404,79.15,0,25,nan,11847,nan,nan,nan,その他,nan,nan,nan,nan,nan,nan,17,nan,10222,nan,nan,nan,その他,nan,nan,nan,nan
日高町議会議員選挙（2006年04月09日投票）,日高町議会議員選挙,北海道,日高町, 第二選挙区 2,降幡 治男,フリハタ ハルオ,71,男,新人,,無所属,True,399.0,20060409,2006,4,9,20060404,79.15,0,25,nan,11847,nan,nan,nan,その他,nan,nan,nan,nan,nan,nan,17,nan,10222,nan,nan,nan,その他,nan,nan,nan,nan
日高町議会議員選挙（2006年04月09日投票）,日高町議会議員選挙,北海道,日高町, 第二選挙区 2,松平 恭司,マツヒラ キョウジ,66,男,新人,,無所属,True,396.0,20060409,2006,4,9,20060404,79.15,0,25,nan,11847,nan,nan,nan,その他,nan,nan,nan,nan,nan,nan,17,nan,10222,nan,nan,nan,その他,nan,nan,nan,nan
日高町議会議員選挙（2006年04月09日投票）,日高町議会議員選挙,北海道,日高町, 第二選挙区 2,本宮 幹夫,モトミヤ ミキオ,52,男,新人,,日本共産党,True,394.0,20060409,2006,4,9,20060404,79.15,0,25,nan,11847,nan,nan,nan,その他,nan,nan,nan,nan,nan,nan,17,nan,10222,nan,nan,nan,その他,nan,nan,nan,nan
日高町議会議員選挙（2006年04月09日投票）,日高町議会議員選挙,北海道,日高町, 第二選挙区 2,大沢 聖治,オオサワ セイジ,64,男,新人,,無所属,True,317.0,20060409,2006,4,9,20060404,79.15,0,25,nan,11847,nan,nan,nan,その他,nan,nan,nan,nan,nan,nan,17,nan,10222,nan,nan,nan,その他,nan,nan,nan,nan
日高町議会議員選挙（2006年04月09日投票）,日高町議会議員選挙,北海道,日高町, 第二選挙区 2,道鎮 忠晴,ドウチン タダハル,68,男,新人,,無所属,False,271.0,20060409,2006,4,9,20060404,79.15,0,25,nan,11847,nan,nan,nan,その他,nan,nan,nan,nan,nan,nan,17,nan,10222,nan,nan,nan,その他,nan,nan,nan,nan
